id,pay_date,base_pay,number_regular_hours,number_overtime_hours,tax_id,federal_percent,state_percent,ssn
435,2022-01-29,35,80,5,3,0.22,0.06,901-23-4567
436,2022-02-12,35,80,15,3,0.22,0.06,901-23-4567
437,2022-02-26,35,80,15,3,0.22,0.06,901-23-4567
438,2022-03-12,35,80,20,3,0.22,0.06,901-23-4567
439,2022-03-26,35,80,40,3,0.22,0.06,901-23-4567
440,2022-04-09,35,80,5,3,0.22,0.06,901-23-4567
441,2022-04-23,35,80,5,3,0.22,0.06,901-23-4567
442,2022-05-07,35,80,5,3,0.22,0.06,901-23-4567
443,2022-05-21,35,80,40,3,0.22,0.06,901-23-4567
444,2022-06-04,35,80,30,3,0.22,0.06,901-23-4567
445,2022-06-18,35,80,20,3,0.22,0.06,901-23-4567
446,2022-07-02,35,80,25,3,0.22,0.06,901-23-4567
447,2022-07-16,35,80,10,3,0.22,0.06,901-23-4567
448,2022-07-30,35,80,25,3,0.22,0.06,901-23-4567
449,2022-08-13,35,80,10,3,0.22,0.06,901-23-4567
450,2022-08-27,35,80,5,3,0.22,0.06,901-23-4567
451,2022-09-10,35,80,15,3,0.22,0.06,901-23-4567
452,2022-09-24,35,80,15,3,0.22,0.06,901-23-4567
453,2022-10-08,35,80,20,3,0.22,0.06,901-23-4567
454,2022-10-22,35,80,10,3,0.22,0.06,901-23-4567
455,2022-11-05,35,80,25,3,0.22,0.06,901-23-4567
456,2022-11-19,35,80,20,3,0.22,0.06,901-23-4567
457,2022-01-01,35,80,30,2,0.12,0.045,012-34-5678
458,2022-01-15,35,80,30,2,0.12,0.045,012-34-5678
459,2022-01-29,35,80,10,2,0.12,0.045,012-34-5678
460,2022-02-12,35,80,40,2,0.12,0.045,012-34-5678
461,2022-02-26,35,80,30,2,0.12,0.045,012-34-5678
462,2022-03-12,35,80,20,2,0.12,0.045,012-34-5678
463,2022-03-26,35,80,30,2,0.12,0.045,012-34-5678
464,2022-04-09,35,80,25,2,0.12,0.045,012-34-5678
465,2022-04-23,35,80,10,2,0.12,0.045,012-34-5678
466,2022-05-07,35,80,15,2,0.12,0.045,012-34-5678
467,2022-05-21,35,80,40,2,0.12,0.045,012-34-5678
468,2022-06-04,35,80,25,2,0.12,0.045,012-34-5678
469,2022-06-18,35,80,40,2,0.12,0.045,012-34-5678
470,2022-07-02,35,80,15,2,0.12,0.045,012-34-5678
471,2022-07-16,35,80,40,2,0.12,0.045,012-34-5678
472,2022-07-30,35,80,35,2,0.12,0.045,012-34-5678
473,2022-08-13,35,80,10,2,0.12,0.045,012-34-5678
474,2022-08-27,35,80,40,2,0.12,0.045,012-34-5678
475,2022-09-10,35,80,35,2,0.12,0.045,012-34-5678
476,2022-09-24,35,80,5,2,0.12,0.045,012-34-5678
477,2022-10-08,35,80,10,2,0.12,0.045,012-34-5678
478,2022-10-22,35,80,5,2,0.12,0.045,012-34-5678
479,2022-11-05,35,80,35,2,0.12,0.045,012-34-5678
480,2022-11-19,35,80,30,2,0.12,0.045,012-34-5678
